ID,RegionName,NVotes,Leave,Residents,Households,MeanAge,AdultMeanAge,Age_0to4,Age_5to7,Age_8to9,Age_10to14,Age_15,Age_16to17,Age_18to19,Age_20to24,Age_25to29,Age_30to44,Age_45to59,Age_60to64,Age_65to74,Age_75to84,Age_85to89,Age_90plus,White,Black,Asian,Indian,Pakistani,Owned,OwnedOutright,SocialRent,PrivateRent,NoQuals,L4Quals_plus,Students,Unemp,UnempRate_EA,HigherOccup,Density,Deprived,MultiDepriv
88,London,5513,2840,11701,3730,35.7,43.8,7.1,3.8,2.1,6,1.3,2.6,2.1,8.2,10.2,22.7,18.2,4.3,6.1,3.9,0.8,0.5,34.7,11.6,49.1,31.1,3.7,59.9,23.3,9.4,28.8,22.5,29.4,8.1,5,7.1,27.7,85.7,65.8,30.9
89,South East,4895,3234,10476,4013,34.3,43.5,7.8,4.1,2.4,7.6,1.5,2.9,2.8,7.1,7.4,23.3,20,5,5,2.4,0.6,0.3,92.5,4,2.9,1.4,0.2,73.4,14.8,12.9,12,19.8,18.2,2.7,4.6,6,29.6,53.7,52.2,20.8
90,North East,5015,3137,11092,5003,41.7,49.9,5.3,3.3,2.2,5.6,1.2,2.4,2.5,5.7,6,18.1,20.7,7.8,11.5,5.8,1.3,0.6,98.8,0.4,0.6,0.3,0.1,61.1,25.4,27.9,10.3,34.5,14.2,2.9,5.1,8.5,20,7.3,69.4,37.2
91,London,5721,1591,11871,5579,35.6,41.1,5.7,2.3,1.6,4.3,1,1.8,1.9,8.4,15.6,28.2,15.7,3.8,5.4,3.4,0.8,0.2,74.4,11.2,9.7,1.6,0.1,31.8,12.8,41.9,23.9,17.3,53,7.8,5.2,7.1,55.9,150.4,58.5,27.6
92,East of England,1475,592,2176,866,42.1,51.9,6,3.5,2.7,6.3,1.8,2.4,1.6,4.5,3.3,16,24.6,7.8,12.6,5.5,1.2,0.2,97.6,0.9,1.3,0.7,0,80.1,35.4,12.6,5.9,14.9,43.2,2.3,1.8,2.6,51.5,1.5,41.1,11.8
93,East of England,5399,2960,10640,4756,36.4,44.3,8.2,3.3,1.9,4.9,1,2.1,2.7,7.9,10.1,22.6,17.8,4.8,7,4.1,1.2,0.4,92.9,2.6,3.4,0.5,0.1,48.3,15.6,32.8,17.8,26.8,17.6,3.5,6.2,8.4,24.3,19.3,62.1,27.8
94,London,4487,2169,11219,3414,38.5,46.1,5.5,3.1,1.9,6,1.4,2.7,2.4,7.8,9.1,19.7,20.4,5.7,8.1,4.7,1,0.5,27.4,8.3,61.5,47.7,3.5,76.1,31.1,3.3,18.3,17.9,34.1,8.2,4.3,6,35,65.2,59.1,21.7
95,London,5873,2906,13495,3630,34.5,42.7,7.2,3.8,2.5,6.4,1.2,2.7,2.5,9.3,10,23.3,16.7,3.8,5.9,3.7,0.6,0.2,6.3,7.8,81.5,47.1,14.9,56.3,25.5,13.3,27.1,23.8,21.9,11.8,6.1,9.6,17.4,85.3,81.4,46.1
96,Yorkshire and The Humber,7355,4901,18020,7344,36,46.1,8.2,4.7,2.6,6.9,1.5,2.7,2.4,6.7,7.9,19.3,19,5.3,6.6,4.9,1.1,0.3,87.2,3.2,8.6,0.8,5.3,60.6,18.5,22.2,15.8,31.9,13.8,3.2,6.8,9.7,21.1,46.9,66.3,32.2
97,Yorkshire and The Humber,6296,3576,20704,7154,31.1,42.4,10.8,5.5,3.6,8.1,1.6,3,2.8,7.7,9.1,21.7,13.8,3.2,4.6,3.1,0.9,0.5,42.7,4.2,50.3,4.2,32.9,56.3,22.5,18,22.9,37.7,12.6,6.5,9.3,15.4,14,39.8,77.4,43.6
98,West Midlands,7914,4682,12210,5121,44.4,52.1,4.3,2.6,1.9,5.5,1.1,2.6,2.4,5.1,4.6,17.4,22,8,11.8,7.1,2.2,1.3,92,1.8,5.7,3.2,0.8,86.2,39.3,6.4,6.3,21.5,28,3,3.3,4.7,40.1,18,51.9,20.4
99,London,6899,4347,12886,5114,44.1,52.4,4.4,2.8,2.1,6.2,1.3,2.6,2,5.3,4.6,17,21.7,7.5,10.3,8.3,2.6,1.3,95.2,1.5,2.7,0.9,0.2,90.1,39.3,2,7.1,19,27.9,3.2,2.5,3.5,43.8,5.9,48.5,15.3
100,East of England,2455,1282,3393,1376,43,51.7,3.8,2.8,2.4,7.3,1.7,2.8,2.4,4.3,3.1,16,26.1,8.5,11.7,5.6,0.9,0.6,97.5,0.8,1.2,0.3,0.1,78.6,34.9,9.9,9.3,15.5,37.4,2.7,2.2,3.1,46.6,0.4,42.6,13.4
101,North West,8548,4021,15834,6673,41.7,50.9,5.2,3.8,2.3,6.4,1.3,2.8,2.2,5.3,4.9,18.4,20.8,6.7,9.9,7,1.9,1.1,97.6,0.5,1.6,0.3,0.1,78.5,30.7,10.9,9.5,20.6,27.7,3.3,3.7,5.3,37.2,16.8,55.2,24.1
102,East of England,4796,1909,7546,3060,42.1,51.4,5.2,3.2,2.2,6.7,1.4,3.4,2.6,4.9,4.2,17.7,20.7,7.4,10.2,7.2,2,1,86.8,3.6,8.4,4.5,0.3,69,32.6,20.1,9.6,15.8,40.2,3.9,3.2,4.6,48.2,16.8,48.5,16.6
103,London,7910,3944,14355,5609,39.5,49,6.4,4,2.2,6.6,1.4,3.1,2.6,6.6,5.4,17.4,21.5,6.1,8.4,5.9,1.7,0.7,69.1,16,12.2,4.4,1.4,71.3,27.3,20.6,6.9,19.1,27.1,4.6,4.6,6.5,37.1,52.6,56.8,21.5
104,North West,6006,3829,12758,5439,37.9,47.1,7.2,3.8,2.3,6.1,1.4,2.9,2.5,6.5,6.1,20.7,20.3,6.5,7.8,3.9,1.2,0.6,95.4,1.3,3,1.4,0.4,61.4,18.9,26.7,11,27.9,18.1,3,5.9,8.6,26.7,23.3,61.9,30.9
105,London,5506,1668,11538,5307,34.8,39.1,4.7,2.1,1.4,3.4,0.7,1.4,5.7,13.2,12.6,27.1,15.8,3.8,3.9,3,0.9,0.3,70.7,11.4,13.6,2.4,0.7,28.1,11.3,43.7,26.1,15.1,47.9,19.3,4.3,6.4,54.8,126.6,60.4,26.5
106,East of England,5061,1149,9290,3873,34.2,38.7,5.9,2.2,1.4,2.8,0.6,1.3,3.1,14.7,14.1,29.2,13.4,2.9,3.9,3.2,0.9,0.6,84.4,2.9,10,2.2,0.6,44,16.2,13.4,41.1,10.7,55,18.3,2.2,2.9,56.6,64.1,45.6,17.4
107,East of England,2728,1155,8588,2813,32,42.2,9.8,4.9,2.9,7.5,1.4,3.6,3.3,7.4,9.1,23.7,14.1,3.1,3.9,4.2,0.9,0.2,40.2,8.7,48.3,6.5,23.6,55.2,20.7,15.5,26.7,28.7,19.5,7.3,7.1,10.9,20.5,48,67.7,32.6
108,Yorkshire and The Humber,6800,4620,12569,5293,39.8,48.5,6.3,3.2,2.1,6.2,1.3,2.8,2.3,6.4,6.3,19.4,21,6.1,9.4,5.3,1.4,0.5,98.1,0.8,0.9,0.2,0.2,72.5,25.1,11.5,14.8,27.7,19.9,2.2,5.3,7.7,29.2,3.6,60.2,27.9
109,East Midlands,2162,1536,4867,2081,43.4,50.8,4.4,3.1,1.8,5.1,0.8,2.3,2.3,5.6,5,18.7,21.5,8.8,11.6,5.9,1.8,1.1,99.1,0.4,0.4,0.1,0,79.6,37.6,10.5,9.2,32.1,14.8,2.2,4,5.8,22.9,9.4,61.2,29.5
110,Yorkshire and The Humber,6971,4116,16433,6372,36.7,46.5,7.4,4.6,2.7,6.8,1.4,2.8,2.7,6.7,7.3,20.2,19,4.9,6.5,5.1,1.4,0.6,67.4,3.7,26,5.2,13.7,74.6,26,5.6,18.3,28,17.4,4.6,6.5,9.2,23.7,50.7,65.7,30.4
111,North West,7651,3582,13008,5653,41.4,49.9,5.9,3.3,2.2,5.5,1.2,2.4,1.9,5.1,5.6,20.6,21.1,6.4,9.7,6.8,1.6,0.7,91.6,1.8,5.3,1,2.1,80.1,29.2,8.5,10.3,18.9,30.8,3.3,3.3,4.6,40.5,39.3,53.6,21.5
112,London,5012,1512,16034,5578,31,40.7,9.2,5.5,3.4,7.7,1.3,2.4,2.3,7.5,11.1,25.3,14,3.1,4.2,2.6,0.4,0.2,58.8,22.5,9.3,2,0.7,28.4,10.8,28.3,40.2,24.4,29,9,6.3,9.2,28.4,127.3,72.4,36.5
113,London,7696,2378,14109,6235,34,40,7.4,3.3,1.7,3.8,0.8,1.4,1.8,9.5,13.5,31.6,13.6,3.4,4.5,2.8,0.6,0.4,69.4,11.5,15.7,4,0.8,36.7,10.7,30.3,31,15,49.5,10,4.5,5.9,52.6,42.3,56.4,23.8
114,East of England,2559,1406,3750,1482,37.8,46.7,6,3.4,2.4,6.8,1.5,3.5,2.4,6.6,6.4,21.4,21.1,6,6.3,4.7,0.9,0.6,75.8,7.4,15.6,11.8,1,60.4,22.3,29.6,8.5,23.3,22.2,3.8,5.4,7.2,31.4,36,58.9,28.1
115,London,6612,3703,10442,3832,36.4,45.7,6.9,3.8,2.5,7.2,1.6,3.2,2.8,6.9,6.2,22.2,19.8,4.7,6.7,4,1.1,0.5,75.4,13.4,8.3,1.8,0.6,44.4,12,44.5,9,30.8,21.2,5.3,6.6,9.9,26,44.2,68,34.2
116,South East,3579,2099,8093,3490,38,46.3,7.1,3.6,2,5.4,1.3,2.3,2,5,7.2,24.3,21.6,6.3,7,3.4,0.9,0.6,92.3,3.3,3.7,1.4,0.4,69.2,17.4,18.5,11.5,18.2,26,1.9,3.9,4.9,37.4,48,51.7,19.2
117,North West,6678,4102,11683,5090,42.4,50.7,5.2,3.1,2,5.7,1.3,2.5,2.6,5.5,5.2,18.5,21.1,6,10.5,8.1,1.7,0.9,95.5,1.7,2.4,0.5,0.8,84.6,32.9,5.6,9.2,25.9,17.5,2.7,3.2,4.4,29.4,23.2,58.6,25.6
118,London,8747,4032,12472,4995,34.9,41.2,7.6,3.3,1.6,3.7,0.7,1.7,2,9,13.3,29.4,13.6,3.7,5.5,3.5,0.9,0.5,41.5,10.5,43,25.9,4.2,41.9,16.1,11,44.6,11.7,46,9,4.8,6.5,45.2,73.2,59.5,22.9
119,East of England,3079,1232,6437,2593,41,51.5,7.2,3.9,2.7,6.6,1.3,2.7,1.9,3.7,3.7,19.3,21.3,6.7,10,6.5,1.8,0.8,95.7,2.1,1.7,0.3,0.1,76.4,31.7,15.3,6.9,13,43.7,2.7,2.9,4,51,2.6,44.6,13.7
120,West Midlands,4675,2526,12698,4802,31.3,38.2,8.4,3.5,2.1,5,1.1,2.5,5,15.6,11.3,22.2,12.6,2.6,4.4,2.7,0.7,0.2,38.4,18.6,36.5,13.6,11.5,36.6,15.3,33.5,27.1,25.8,19.9,22.1,9.3,15.2,18,36.5,75.7,39.9
121,East of England,4979,2370,11109,5221,39.2,45.3,6.7,2.3,1.2,3.5,0.6,1.7,2.4,8.9,10.6,25.1,16.4,4.5,6.5,5.8,2.1,1.5,85.4,5.9,7,1.7,0.6,43.7,15.8,3.3,51.3,22,26.2,6.1,7,9.6,33.3,69.4,64.4,30
122,East Midlands,5782,1829,21503,7699,28.7,31.1,3.6,1.7,1,2.7,0.5,1.1,12.5,34.6,10.8,15.4,9,2.2,2.7,1.7,0.4,0.2,60.4,13.1,22.8,6.3,7.1,22.7,9.6,19.9,55.9,11,28,51,4.2,8.8,37.1,91.2,60.1,24.2
123,London,6695,2449,13844,5175,38.7,46.5,6.2,3.1,2.2,5.4,1.2,2.3,2.1,7.3,8.4,21.8,19.5,5.1,8,5.4,1.2,0.7,66.8,9.4,17.9,8,1.1,65.8,27.9,10.7,22.4,16.3,40,7.2,4.3,6.1,44.4,54.3,54.9,22.4
124,London,10662,4997,15958,6409,40.7,50.1,5.7,3.5,2.2,7.3,1.5,2.6,2.3,5,4.5,19.6,22.3,6,8,6.8,1.7,1,84,7.4,6.5,2,0.4,81.6,29.9,7.5,9.7,17.1,33.8,3.3,3.1,4.3,46.3,31.5,47.7,17.4
125,London,3661,1972,11441,3898,34.4,43.9,8.2,4.8,2.4,6.5,1.6,3.1,2.7,7.2,8.4,23.7,16.6,3.9,5.7,3.9,0.9,0.4,37.4,17,39.8,19.9,4.3,53.6,18,15.1,29.1,20.9,27.2,7.8,6.1,8.9,28.9,98.3,66.8,31.1
126,North East,5527,3390,11882,4882,40.1,48.6,5.4,3.6,2.1,6.3,1.4,2.4,2.3,5.5,6.1,20.3,21.1,8.1,9.4,4.4,1.1,0.5,97.9,0.4,1.5,0.4,0.1,68.3,22.8,23.2,7.8,25,19.2,3.2,4.2,6.1,28,17.5,57.7,25.4
127,London,7446,1761,16596,7119,32.8,38.9,7.5,3.2,1.7,4.1,0.9,1.7,4.2,10.5,12.4,30.2,13,2.8,3.9,2.7,0.7,0.4,66.7,17.2,12.2,2.4,0.6,32.1,9.8,37.3,27.7,12.8,49.9,14.5,4.9,6.7,54.7,67.1,54.3,21.8
128,West Midlands,6859,5159,13301,5725,40.3,49.4,6.3,3.4,2.2,6.2,1.5,2.8,2.4,6,5.5,18.6,21.4,5.9,9,6.8,1.6,0.5,95.7,2,2,0.5,0.3,59.4,21.8,29.4,9.8,40.1,12.8,2.7,7.2,10.9,21.1,38.2,70.7,38.7
129,London,4358,2223,12711,3961,35.5,42.1,6.7,3.2,1.7,4.8,1,1.8,2.2,9.7,13.6,24.1,15.7,4.2,6.2,3.8,0.8,0.5,24.1,6,65.4,39.7,8.4,48.1,20.6,13.7,34.8,16.3,33.5,10.9,4.7,6.6,27.5,80.4,75,33.7
130,East of England,3596,1634,7816,3266,37.7,46.3,6.8,3.6,2.4,6.4,1.1,2.5,2.4,7.2,5.7,23.3,20.6,5.1,6.9,4.4,1.2,0.5,86.7,5.2,6.8,2.6,1,72.8,27.1,7.2,18.9,15.1,34.3,6.5,3.6,4.7,41.8,20.6,45,15.2
131,North West,1616,682,3988,1782,45.7,51.5,3.8,2.1,1.3,3.7,1.1,1.8,1.7,6.6,6.7,18.4,21.1,7.1,12.1,9.3,2.2,1.1,97.8,0.6,1.4,0.2,0.2,53.7,34.1,23.2,19.8,15.6,34.4,3.7,1.9,2.5,32.2,0.4,53.8,16.1
132,South East,2274,1318,6326,2064,35.2,42.5,6.3,3.8,2.1,5.8,1.2,2.3,2.4,12.6,9.5,21.9,17.5,4.6,4.9,3.6,1,0.5,84.3,1.9,12.5,1.4,0.5,71.6,22.1,6.7,20.6,14.3,32.6,3.1,2.6,3.2,48.6,16,45.2,14.2
133,West Midlands,2327,1473,4524,1773,41,50.1,4.5,3.6,2.6,7.2,1.3,3.1,2.4,4.4,4.1,19.2,22.7,8.7,9.6,5.2,1.1,0.3,98,0.7,1,0.7,0,82.6,31.7,7.1,9.1,19.3,27.6,2.9,2.6,3.6,37.9,3.2,47.1,15.5
134,East of England,2534,1309,5106,2175,38.2,47.6,7.6,3.5,2.6,6,1.3,2.6,2.5,5.9,6.8,22.1,18.7,4.6,7.5,6.1,1.3,0.8,83,7.9,7.3,2.2,0.4,50.6,19.5,40.1,8.4,25.2,23.8,3.2,6.1,8.2,31.4,38.6,60.3,25.9
135,South East,2199,1220,4236,1695,43,52.6,5.6,4.1,2.7,5.8,1.1,2.5,2.3,4,3.7,17.8,20.9,7.3,11.3,7.8,1.9,1.2,97.9,0.4,1.6,0.3,0.1,80.1,37.1,10.5,6,16.8,32,2.3,2.6,3.6,43.8,4.8,48.2,14.5
136,West Midlands,3787,2649,6805,2731,40.7,49.2,5.2,3.4,2.2,6.1,1.2,3.2,2.5,5.3,4.8,19.6,21.9,8.1,11.2,4,0.9,0.4,98.2,0.7,0.7,0.4,0,80.8,31.1,9.6,8.7,25.1,18.4,2.4,3.6,5.2,27.6,4.1,58.1,23.6
137,East of England,3744,2080,7166,2940,37.8,46.4,6.9,4,2.2,5.5,1.2,2.4,2,6.3,8.1,22.4,19.2,5.9,7,4.9,1.3,0.6,73.8,6.1,18.9,13.9,0.8,67.4,24,12.6,17.6,23.4,19.1,3.7,4.7,6.3,26.3,53.3,61,26.2
138,South East,2246,1264,2620,1080,43.8,52.4,4.5,3.3,2.2,5.1,1.6,3.3,1.5,4.9,3,17.7,23.1,8.3,12.2,7.4,1.4,0.5,98.2,0.3,1.5,0.3,0,83,36.8,5.2,9.6,17.3,29.5,1.6,2.5,3.6,41.6,1.4,46.7,16.5
139,West Midlands,7296,4537,11911,4918,42.5,51.3,5.4,3.3,2.2,5.8,1.2,2.9,2.3,5,5.1,17.9,20.7,6.8,10.6,8,1.8,0.8,93,1.5,3,0.8,1.2,77.5,33.5,14.5,6.6,26.8,23,2.9,4.3,6.2,33.2,25.6,57.2,26.4
140,East of England,4784,2451,7291,2899,42,51.7,5.2,4.4,2.4,6.8,1.4,2.7,1.8,3.7,3.2,18.3,23.8,7.8,9.9,5.8,1.7,1.1,96,1.5,2.3,0.3,0.2,65,25.8,18.5,14.5,18.1,35,2.1,2.4,3.3,45.1,0.7,44.2,15.4
141,London,4240,1853,11170,3683,37.6,46.5,6.5,4.1,2.4,6.4,1.2,2.8,2.1,6.2,7.5,22.2,19.7,5,7.4,5.2,0.9,0.4,34.5,6.4,55.6,27.8,3.5,72.1,26.5,2.3,24.5,13.7,37.9,7,3.8,5.4,41.6,74.9,55.9,20.6
142,East of England,2985,1302,7239,2872,40.2,46.9,4.1,2.1,1.6,5.4,1.5,3.6,8,8.4,6.4,16.6,18,5.8,7.9,6.8,2.3,1.5,85.5,5.2,8.4,2.7,0.8,68.1,30.8,6.5,23.3,15.4,33,15.4,3.4,5.1,43.1,36.5,52.9,18.7
143,London,5980,3021,16094,5881,33.3,43.7,9.1,5,2.9,7.6,1.7,3.2,3,7.4,7.9,21.2,17.1,3.6,5.8,3.5,0.7,0.3,57.8,24.7,9.2,1.8,0.5,51.2,16.3,24.1,22.6,30.1,18.6,7.1,7.3,11.2,22.2,35.5,72.8,34.7
144,London,4458,1938,10316,4046,33.3,40.8,8.2,3.5,2,5.5,1.1,2.3,2.3,7,12,29,16.4,3.4,4.4,2.3,0.5,0.2,53.2,17.1,25.8,4.2,3.9,45.8,11.6,21.9,30.8,18.1,32.6,7,5.5,7.3,32,89.7,63.1,25.5
145,North West,2115,1122,2065,957,41,49.6,5.9,4,3,4.4,1.3,2.1,1.7,5.1,6.1,21.4,19.5,7.1,9.5,6.4,1.6,0.9,99.2,0.3,0.2,0.1,0,66.3,25.5,21.8,10.6,29.2,18.3,1.4,2.7,3.7,22.6,18.2,59.5,29.4
146,London,5903,1423,13530,5964,36.7,43.6,7.6,2.9,2,4,0.8,1.4,1.5,6.2,9.4,30.6,18.8,4.8,6,2.9,0.7,0.4,79.2,6.7,10,2.9,1,57.5,22.1,9.2,31.8,9,57.8,5.8,3.4,4.4,61.7,96.8,44.4,16.6
147,London,5851,1548,11591,5128,37.6,45.4,7.2,3.8,2.1,4.8,0.9,1.8,1.5,5.5,8.1,27.2,19.6,5.6,6.7,3.7,0.9,0.5,80.9,5.5,9.7,3,0.8,59.3,22.9,15.2,24.4,9.2,56,4.4,3,3.9,60.2,61.8,42.7,16.1
148,North West,7296,3729,13651,6194,39.2,47.1,6.1,3.2,2,5.4,1.4,2.3,2.1,5.8,7.2,23.2,20.6,5.7,8.2,4.9,1.3,0.5,93.3,2.2,3.7,0.4,1.3,74.1,25.6,10.9,14,24.2,23.3,3.2,4.2,5.7,31,36.1,58,26.5
149,London,8463,4467,15176,6235,39.6,49.2,6.5,3.7,2.5,6.9,1.2,2.8,2.3,5.2,4.7,21.2,20.5,5.9,7.9,6.3,1.6,0.8,87.2,5.8,5.5,1.6,0.3,73.2,26.2,15.6,9.8,20.5,28.3,3.3,4.2,5.9,39.4,18.7,53.1,21.6
150,East Midlands,6130,3105,19396,8480,31.8,36.9,5.9,3,1.6,4.3,0.8,1.8,7.9,21.6,9.7,18.8,13.1,3.3,4.3,2.9,0.6,0.3,57.8,20.8,17.3,3.9,3.5,25.4,8.9,42.4,29.7,25.2,17.6,31.1,7.2,13.1,18.6,78.4,74.6,37.3
151,East of England,1820,749,2707,1116,42.8,52.7,4.9,4.5,2.7,6.9,1.1,2.4,1.3,3.2,3.2,17.1,24.8,7.5,12.1,6.3,1.4,0.6,97.4,0.4,1.3,0.2,0.3,75.1,32.9,10.3,12.9,15,43.8,1.4,2.3,3.2,50.9,0.7,43.3,13.5
152,London,8987,4569,12310,4326,34.9,43,7.9,3.9,2.6,5.4,1,2.1,2.1,7.7,10.3,26,16.5,3.9,5.8,3.6,0.8,0.4,37.1,14.8,43.2,23.9,5.4,53.6,19.4,10.9,33.1,17.1,35.5,8.4,6.1,8.5,34.4,76.7,64.3,28.1
153,West Midlands,6918,3440,10722,4494,45.4,54.4,4.5,3.2,2.1,6.5,1.1,2.7,1.6,3.5,3.6,15.9,22.2,8.6,12.5,8,2.4,1.7,95.2,0.9,3.1,1.7,0.3,86,40.5,4.4,8.6,13.9,44.5,2.3,1.9,2.8,55.6,6.6,42.1,13.2
154,London,5516,2504,15729,5704,32.3,42.1,9.5,5,2.6,7.2,1.5,2.8,3.6,8,9.1,21.9,16.4,3.2,5.5,2.7,0.6,0.4,45.4,29.1,17,2.1,1.1,45.8,15,24.4,26.7,26.9,21,10.6,7.2,11.3,21.3,45.5,74.6,37.6
155,Yorkshire and The Humber,9134,6286,16335,7036,39.8,47.9,6.2,3.2,2,5.4,1.2,2.4,2.3,6.4,6.7,21.8,19.9,5.9,9.1,5.3,1.5,0.7,97.6,0.9,1.2,0.4,0.1,70.8,23.1,18.2,10.1,31.4,16.4,2.4,4.2,5.9,25.2,11,60.2,30
156,West Midlands,2944,1606,5937,2115,39.6,44.5,3.2,2.3,1.6,3.9,0.8,1.7,12.3,14.8,4.2,13.5,15.8,5.8,10.7,6.6,1.6,1,96.6,1.1,1.9,0.4,0.2,73.2,34.4,4.3,21.8,17,24,27.1,2.5,3.9,37.6,37.2,50.5,17.5
157,West Midlands,8767,5511,6444,2816,39.5,47.2,5.7,2.9,2,5.6,1.1,2.8,2.5,6.9,6.9,18.7,26,6.3,6.3,4.3,1.3,0.6,92.6,2.4,4.5,2.9,0,72.4,23.9,14.6,11.4,18.6,26.2,3.2,4.8,6.2,37.5,54.6,52.4,19.6
158,East of England,5497,3566,11260,4665,37.5,46.8,7,3.7,2.4,7.1,1.3,2.9,2.4,5.9,6.8,22.1,19.6,5,6.8,5,1.5,0.6,92.9,3.3,2.8,0.5,0.3,66.1,21.1,9.3,23.6,27.6,15.3,2.7,5.9,8.1,26,32.9,63.6,29.3
159,West Midlands,7417,4890,11264,4728,44.7,51.8,3.8,2.4,1.5,5,1.3,2.8,2.8,6.1,4.4,15.3,24.2,8.8,10.2,8.1,2.2,0.9,93.3,3.2,3.1,0.6,1,85.9,37.3,7.3,5.3,27.7,17.3,3,4,5.5,29,36,59.5,25
160,North West,1385,966,4471,2027,43.2,52,5.4,3.5,1.9,5.2,1.4,2.8,1.8,5.7,5.7,17.5,18.6,7.5,10.4,8.5,2.2,1.8,92.2,0.5,7.2,0,5.8,68.8,29.7,16.7,13,34,16.3,3.2,4.2,6.6,22.4,40.9,67.4,33.6
161,North West,7515,4429,13777,5788,40.6,49.5,5.9,3.5,2.1,6.3,1.5,2.6,2.2,6.2,5.1,18.3,22.5,6.5,9.6,5.8,1.4,0.6,95.6,1.1,2.4,0.5,0.7,73.2,26.1,18.3,7.1,24.2,20.8,3,3.9,5.5,30.7,28.9,57.3,26
162,South West,2341,1555,5068,2130,41,50,5.2,3.2,2.2,6.8,1.5,3.2,2.8,6.1,5,18.5,20.2,6.4,9.2,6.8,1.8,1.2,99,0.2,0.4,0.1,0,66.9,26.3,21.1,10.8,30.2,15.9,2,5.6,7.9,23,7.8,63.5,30.4
163,London,4863,1485,13077,6139,35.8,40.4,4.5,2.9,1.5,3.5,0.5,1.4,3.3,13.7,11.7,26.9,16.4,4.3,5.3,3,0.8,0.4,60.2,9.4,25.2,2.9,0.7,21.8,9.4,45.3,30.4,12.9,46.2,17,4.8,7.3,50.1,111.6,67,28.3
164,Yorkshire and The Humber,4110,2502,7471,3000,42.2,51,4.5,3.5,2.4,6.8,1.3,2.5,2.1,4.7,3.5,19,23.8,6.7,10.2,6.7,1.4,0.6,97,0.5,2.3,0.8,0.1,86,32,3.2,9.4,19.6,29.2,2.4,3,4.1,37.4,0.9,46.6,15.9
165,West Midlands,7132,4874,11056,4558,42.6,51.1,4.5,3,2.3,6.4,1.4,2.8,2.5,5.3,5.1,18.7,19.7,5.8,11.2,9.4,1.5,0.6,88.8,3.3,6.7,4.4,0.7,89.5,38.3,2.9,6.6,28.3,19.1,3.3,3.2,4.5,30.4,14.9,59.6,24.7
166,West Midlands,12426,8157,25516,10830,37.2,46.6,7.2,3.9,2.5,6.7,1.4,2.7,2.5,6,6.9,21.9,19.2,5.6,7.1,4.7,1.1,0.5,89.2,7.1,2.8,0.6,0.5,60.3,18.3,27.1,10.4,30.5,17.1,3.7,6.9,10,26.3,37.3,64.5,32.7
167,West Midlands,11938,8316,24717,10287,38.6,47.9,7,3.8,2.2,6.3,1.5,2.7,2.4,6.4,6.8,20.4,18.8,5,8.7,5.7,1.4,0.9,81.9,9.2,8.2,4.2,1.2,74,26.5,10.2,14.5,31.2,15.3,3.6,5.8,8.1,23.8,41.7,64.5,31
168,North West,8213,3201,13457,5832,47.3,56.1,4.1,3,2.1,5.8,1.3,2.4,1.6,3.3,3,14.6,21.9,8.4,14.1,10.2,2.8,1.5,97.4,0.4,1.8,0.6,0.3,90.6,44.8,1.4,7.3,12.5,47.4,2.7,2.3,3.5,56.5,11.5,43.1,12.3
169,London,9011,4089,13610,5814,35.3,42.9,8.1,3.3,1.6,5.1,1.1,2.3,1.8,6.2,10.4,29.1,17.3,4.3,5.1,3.1,0.9,0.4,65.8,9.8,19,6.8,2.5,41.5,12.8,29.3,24.7,16.4,38.9,5.6,4.4,5.9,43,51.3,58.1,24.5
170,South East,5393,3531,8599,3772,41.8,50.3,5.6,3.2,2.3,5.8,1,2.4,2.1,5.4,5.5,20.2,19.3,7.1,10.4,7,1.7,1,94.2,1.8,2.8,1.2,0.3,76.6,31,7.3,14.9,23.3,18.8,2.6,3.7,5.3,32,14.4,56.8,22.9
171,East of England,2794,1624,4116,1536,37.8,47,6.6,3.8,2.5,6.5,1.5,3.2,2.7,5.9,6.7,20.5,19.9,6.6,8.2,4,0.9,0.4,75.6,5.6,17.4,13.1,0.6,80.5,28.7,6,12.2,21,19.2,3.5,3.4,4.5,28.3,37.6,53.7,20.1
172,West Midlands,8849,2850,32420,9783,29.1,38.8,9.9,5.5,3.3,8.3,1.6,3.3,4.7,12.9,8.6,20.5,11.7,2.2,3.9,2.9,0.5,0.2,13.3,27.9,55.9,11.9,20.7,44.7,21.1,35.8,15.7,33.2,15.3,19.4,10.2,19,13.4,69.6,81.3,45.8
173,North East,4775,2937,8664,4397,39.5,47,5.7,2.9,1.9,5.2,1.1,2.7,3.1,8.6,6.5,19.1,21.7,6.4,8,5.4,1.2,0.6,91.2,1.1,4.7,0.6,0.5,44.8,17,40.2,14,33.7,12.7,4.2,9.6,15.1,17.1,29.4,72.6,40.5
174,West Midlands,4159,2602,7660,2809,33.7,42.4,7.5,4.4,2.5,7,1.5,2.9,2.6,6.1,8.4,26.3,21.4,3.6,3.4,1.4,0.7,0.4,96.9,1.1,1.6,0.4,0.2,82.7,15.7,6,10.3,13,26.4,3.2,3.1,3.7,37.9,45.4,37.5,11
175,London,7655,4082,15184,5645,33.5,43.7,9.6,4.7,2.8,7.1,1.4,2.8,2.9,7,7.9,22.8,17.5,3.9,5,3.4,0.9,0.4,44.9,22.1,25.7,8.4,4.1,43.4,12,33.1,20.7,25.1,21.7,7.6,7.3,10.8,23.1,43.9,74.6,38.5
